Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
KEGG_2019_Human	Oxytocin signaling pathway	20/153	1.0806777870642336e-06	0.0002484430898634899	0	0	3.966191340420016	54.48722779950496	CAMK2B;CAMK2D;CAMK1D;PLA2G4B;CACNA2D3;PRKAG2;NFATC1;CACNA1C;ADCY1;ADCY6;CAMKK2;GNAO1;CACNB2;RCAN1;MYL6;PLCB4;MAPK1;PPP1R12B;PLCB1;PRKACB
KEGG_2019_Human	Adrenergic signaling in cardiomyocytes	19/145	1.925915425298371e-06	0.0002484430898634899	0	0	3.973184223184224	52.28753808056103	CAMK2B;CAMK2D;CACNA2D3;CREM;ATP2B4;CACNA1C;PPP2R5C;ADCY1;ADRA1A;ADCY6;CACNB2;PLCB4;CREB3L2;AKT1;MAPK1;PLCB1;PRKACB;CREB5;RAPGEF4
KEGG_2019_Human	cAMP signaling pathway	21/212	4.643776598156948e-05	0.003428395759281	0	0	2.895085476266235	28.88541861568096	CHRM2;CAMK2B;GABBR1;CAMK2D;BDNF;PTCH1;PDE4D;PTGER3;PDE4C;ATP2B4;NFATC1;ADCY1;CACNA1C;ADCY6;CREB3L2;AKT1;PLCE1;MAPK1;PRKACB;RAPGEF4;CREB5
KEGG_2019_Human	Aldosterone synthesis and secretion	13/98	6.954277557025202e-05	0.003428395759281	0	0	4.0053037608486015	38.34504999345242	CAMK2B;SCARB1;CAMK2D;CAMK1D;ATP2B4;CACNA1C;ADCY1;ADCY6;PLCB4;CREB3L2;PLCB1;PRKACB;CREB5
KEGG_2019_Human	Cholinergic synapse	14/112	7.187107601001546e-05	0.003428395759281	0	0	3.743795192495603	35.71818964226282	CHRM2;CAMK2B;CAMK2D;CACNA1C;ADCY1;ADCY6;GNAO1;PLCB4;CREB3L2;AKT1;MAPK1;PLCB1;PRKACB;CREB5
KEGG_2019_Human	Insulin secretion	12/86	7.973013393676814e-05	0.003428395759281	0	0	4.243427602227056	40.04464472713488	CAMK2B;CAMK2D;PLCB4;CREB3L2;KCNMA1;ADCY1;CACNA1C;PLCB1;PRKACB;ADCY6;RAPGEF4;CREB5
KEGG_2019_Human	Morphine addiction	12/91	0.00013886934943374934	0.0051183274505581	0	0	3.973820090835305	35.29537864487618	GNAO1;GABBR1;PDE1C;GRK4;PDE4D;PDE1A;PDE4C;ARRB1;ADCY1;GABRE;PRKACB;ADCY6
KEGG_2019_Human	Dilated cardiomyopathy (DCM)	11/91	0.0005596184731207556	0.0156585279456121	0	0	3.5920470027247955	26.89816502188953	CACNB2;ITGB4;ITGA1;CACNA2D3;DMD;ADCY1;CACNA1C;IGF1;PRKACB;ADCY6;TTN
KEGG_2019_Human	Parathyroid hormone synthesis, secretion and action	12/106	0.0005833869054279595	0.0156585279456121	0	0	3.337087457548402	24.85015550660874	PLCB4;PDE4D;CREB3L2;PDE4C;MAPK1;ARRB1;ADCY1;PLCB1;PRKACB;ADCY6;FGFR1;CREB5
KEGG_2019_Human	Cortisol synthesis and secretion	9/65	0.0006497424053321547	0.0156585279456121	0	0	4.19232822204969	30.76722253062935	SCARB1;PLCB4;CREB3L2;ADCY1;CACNA1C;PLCB1;PRKACB;ADCY6;CREB5
KEGG_2019_Human	MAPK signaling pathway	23/295	0.000724604836889524	0.0156585279456121	0	0	2.223241200912498	16.07377621843746	FLT1;BDNF;HGF;FLT4;PLA2G4B;CACNA2D3;NFATC1;ARRB1;IGF1;IL1RAP;CACNA1C;RASGRP2;ELK4;CACNB2;PPM1B;MECOM;ERBB3;NF1;AKT1;FAS;MAPK1;PRKACB;FGFR1
KEGG_2019_Human	Rap1 signaling pathway	18/206	0.0007283036253773095	0.0156585279456121	0	0	2.511091925429483	18.142118182199496	FLT1;HGF;FLT4;IGF1;ADCY1;RASGRP2;ADCY6;GNAO1;PLCB4;RASSF5;PARD3;AKT1;PLCE1;MAPK1;PLCB1;SIPA1;RAPGEF4;FGFR1
KEGG_2019_Human	Purine metabolism	13/129	0.0010631282019615	0.0204059101978861	0	0	2.930174769172791	20.061557542189256	CANT1;PDE1C;PDE1A;PDE4D;PDE4C;AK4;AMPD2;ADCY1;ADCY6;AK9;NME1;IMPDH1;GART
KEGG_2019_Human	Inflammatory mediator regulation of TRP channels	11/100	0.001238879207031	0.0204059101978861	0	0	3.2272908183571625	21.602026562229863	CAMK2B;CAMK2D;PLCB4;PLA2G4B;IL1RAP;TRPV1;IGF1;ADCY1;PLCB1;PRKACB;ADCY6
