LINE 227 : 2021-04-20 14:52:36,454 [DEBUG   ] Starting new HTTP connection (1): maayanlab.cloud:80
LINE 452 : 2021-04-20 14:52:36,663 [DEBUG   ] http://maayanlab.cloud:80 "GET /Enrichr/datasetStatistics HTTP/1.1" 308 172
LINE 971 : 2021-04-20 14:52:36,667 [DEBUG   ] Starting new HTTPS connection (1): maayanlab.cloud:443
LINE 452 : 2021-04-20 14:52:37,376 [DEBUG   ] https://maayanlab.cloud:443 "GET /Enrichr/datasetStatistics HTTP/1.1" 200 None
LINE 385 : 2021-04-20 14:52:37,485 [INFO    ] Connecting to Enrichr Server to get latest library names
LINE 403 : 2021-04-20 14:52:37,486 [DEBUG   ] Start Enrichr using library: KEGG_2019_Human
LINE 404 : 2021-04-20 14:52:37,486 [INFO    ] Analysis name: , Enrichr Library: KEGG_2019_Human
LINE 227 : 2021-04-20 14:52:37,491 [DEBUG   ] Starting new HTTP connection (1): maayanlab.cloud:80
LINE 452 : 2021-04-20 14:52:37,708 [DEBUG   ] http://maayanlab.cloud:80 "POST /Enrichr/addList HTTP/1.1" 308 172
LINE 971 : 2021-04-20 14:52:37,709 [DEBUG   ] Starting new HTTPS connection (1): maayanlab.cloud:443
LINE 452 : 2021-04-20 14:52:39,220 [DEBUG   ] https://maayanlab.cloud:443 "POST /Enrichr/addList HTTP/1.1" 200 74
LINE 227 : 2021-04-20 14:52:40,232 [DEBUG   ] Starting new HTTP connection (1): maayanlab.cloud:80
LINE 452 : 2021-04-20 14:52:40,551 [DEBUG   ] http://maayanlab.cloud:80 "GET /Enrichr/export?userListId=37619551&filename=KEGG_2019_Human..reports&backgroundType=KEGG_2019_Human HTTP/1.1" 308 172
LINE 971 : 2021-04-20 14:52:40,557 [DEBUG   ] Starting new HTTPS connection (1): maayanlab.cloud:443
LINE 452 : 2021-04-20 14:52:42,087 [DEBUG   ] https://maayanlab.cloud:443 "GET /Enrichr/export?userListId=37619551&filename=KEGG_2019_Human..reports&backgroundType=KEGG_2019_Human HTTP/1.1" 200 None
LINE 412 : 2021-04-20 14:52:42,321 [INFO    ] Save file of enrichment results: Job Id:f3026681ad3f934d0ec83c3d988d00eb
LINE 1325: 2021-04-20 14:52:42,401 [DEBUG   ] findfont: Matching sans\-serif:style=normal:variant=normal:weight=bold:stretch=normal:size=24.0.
LINE 1337: 2021-04-20 14:52:42,401 [DEBUG   ] findfont: score(<Font 'STIXSizeThreeSym' (STIXSizThreeSymBol.ttf) normal normal 700 normal>) = 10.05
LINE 1337: 2021-04-20 14:52:42,401 [DEBUG   ] findfont: score(<Font 'STIXSizeTwoSym' (STIXSizTwoSymBol.ttf) normal normal 700 normal>) = 10.05
LINE 1337: 2021-04-20 14:52:42,401 [DEBUG   ] findfont: score(<Font 'DejaVu Serif' (DejaVuSerif.ttf) normal normal 400 normal>) = 10.335
LINE 1337: 2021-04-20 14:52:42,401 [DEBUG   ] findfont: score(<Font 'STIXNonUnicode' (STIXNonUni.ttf) normal normal 400 normal>) = 10.335
LINE 1337: 2021-04-20 14:52:42,401 [DEBUG   ] findfont: score(<Font 'DejaVu Sans Mono' (DejaVuSansMono-Oblique.ttf) oblique normal 400 normal>) = 11.335
LINE 1337: 2021-04-20 14:52:42,401 [DEBUG   ] findfont: score(<Font 'STIXSizeThreeSym' (STIXSizThreeSymReg.ttf) normal normal 400 normal>) = 10.335
LINE 1337: 2021-04-20 14:52:42,401 [DEBUG   ] findfont: score(<Font 'STIXGeneral' (STIXGeneral.ttf) normal normal 400 normal>) = 10.335
